751348,189450
298051,146432
654754,414229
130013,135225
397760,199655
654754,131217
135225,149337
499566,414229
188347,124422
199655,201111
131217,131217
131217,499566
135225,397760
149337,131217
124422,414229
654754,124422
212318,124422
124422,672756
857263,131217
148335,199655
162733,857263
146432,126325
149337,149539
153025,857263
654754,147737
198451,130013
149741,147737
148335,162733
190031,190031
133928,414229
199655,101915
147737,190031
654754,131217
130013,198451
153025,147737
101915,101915
124422,499566
149539,124422
147737,212318
212318,672756
188347,499566
135225,751348
397760,149337
140925,130013
190031,149539
148335,654754
212318,148335
212318,499566
126325,672756
131217,124422
162733,162733
133928,298051
198451,189450
133928,131217
414229,499566
188347,149741
188347,146432
162733,212318
857263,189450
101915,101915
298051,101915
188347,857263
672756,201111
654754,130013
146432,131217
153025,135225
126325,148335
149539,298051
199655,298051
397760,149337
131217,124422
131217,147737
208226,198451
101915,414229
149337,124422
414229,124422
131217,147737
201111,149337
140925,153025
751348,397760
140925,153025
189450,189450
153025,153025
101915,148335
298051,751348
499566,198451
397760,672756
101915,198451
135225,149539
212318,199655
397760,149337
149539,654754
199655,135225
857263,654754
131217,201111
147737,857263
131217,101915
149539,201111
751348,126325
149337,397760
